[2023/12/18 08:42:43] {'model': 'anchor-based', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/ab_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.5, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 08:42:43] Start training on tvsum: split 0
[2023/12/18 08:43:37] Epoch: 43/300 Loss: 0.7135/0.5592/1.2727 F-score cur/max: 0.6036/0.6293
[2023/12/18 08:43:38] Epoch: 44/300 Loss: 0.6933/0.5369/1.2301 F-score cur/max: 0.6106/0.6293
[2023/12/18 08:43:40] Epoch: 45/300 Loss: 0.6811/0.5845/1.2656 F-score cur/max: 0.6000/0.6293
[2023/12/18 08:43:41] Epoch: 46/300 Loss: 0.6880/0.5522/1.2402 F-score cur/max: 0.6137/0.6293
[2023/12/18 08:43:42] Epoch: 47/300 Loss: 0.7088/0.5493/1.2581 F-score cur/max: 0.5812/0.6293
[2023/12/18 08:43:43] Epoch: 48/300 Loss: 0.7135/0.5399/1.2534 F-score cur/max: 0.5852/0.6293
[2023/12/18 08:43:44] Epoch: 49/300 Loss: 0.7014/0.5321/1.2335 F-score cur/max: 0.5663/0.6293
[2023/12/18 08:43:45] Epoch: 50/300 Loss: 0.6898/0.5579/1.2477 F-score cur/max: 0.5612/0.6293
[2023/12/18 08:43:46] Epoch: 51/300 Loss: 0.6845/0.5186/1.2031 F-score cur/max: 0.5616/0.6293
[2023/12/18 08:43:47] Epoch: 52/300 Loss: 0.6841/0.5513/1.2353 F-score cur/max: 0.6273/0.6293
[2023/12/18 08:43:48] Epoch: 53/300 Loss: 0.6898/0.5240/1.2138 F-score cur/max: 0.6079/0.6293
[2023/12/18 08:43:49] Epoch: 54/300 Loss: 0.6763/0.5140/1.1903 F-score cur/max: 0.5919/0.6293
[2023/12/18 08:43:50] Epoch: 55/300 Loss: 0.6701/0.5139/1.1839 F-score cur/max: 0.5843/0.6293
